,marketValue
1921,22620000000
1922,23820000000
1923,5260000000
1924,3130000000
1925,14720000000
1926,2520000000
1927,24280000000
1928,10890000000
1929,3760000000
1930,718000000
1931,2780000000
1932,9420000000
1933,4280000000
1934,12770000000
1935,24030000000
1936,3090000000
1937,2230000000
1938,23900000000
1939,6040000000
1940,1200000000
1941,12720000000
1942,569000000
1943,2160000000
1944,15730000000
1945,15710000000
1946,5820000000
1947,2680000000
1948,23280000000
1949,19950000000
1950,5450000000
1951,4099999999
1952,9120000000
1953,579000000
1954,612000000
1955,2230000000
1956,2049999999
1957,11910000000
1958,874000000
1959,4790000000
1960,3610000000
1961,3310000000
1962,2320000000
1963,22860000000
1964,6860000000
1965,9350000000
1966,13400000000
1967,2650000000
1968,14580000000
1969,420000000
1970,3270000000
1971,2120000000
1972,1260000000
1973,5070000000
1974,5310000000
1975,1540000000
1976,5260000000
1977,975000000
1978,22340000000
1979,5430000000
1980,432000000
1981,522000000
1982,6500000000
1983,10140000000
1984,4620000000
1985,9310000000
1986,22050000000
1987,15140000000
1988,10460000000
1989,11850000000
1990,11580000000
1991,6460000000
1992,497000000
1993,7630000000
1994,3150000000
1995,1620000000
1996,3010000000
1997,2850000000
1998,4370000000
1999,2710000000
2000,17110000000
2001,10030000000
2002,2610000000
2003,8490000000
2004,21440000000
2005,10470000000
2006,11920000000
2007,1680000000
2008,8300000000
2009,12260000000
2010,10430000000
2011,11750000000
2012,7340000000
2013,19160000000
2014,11780000000
2015,551000000
2016,600000000
2017,5620000000
2018,20580000000
2019,11240000000
2020,5420000000
2021,2220000000
2022,679000000
2023,3240000000
2024,5550000000
2025,2410000000
2026,3250000000
2027,2310000000
2028,1110000000
2029,4200000000
2030,4410000000
2031,9650000000
2032,19680000000
2033,2960000000
2034,1250000000
2035,8750000000
2036,2460000000
2037,768000000
2038,188000000
2039,4080000000
2040,2610000000
2041,7510000000
2042,19600000000
2043,5990000000
2044,785000000
2045,4620000000
2046,15600000000
2047,3170000000
2048,5600000000
2049,2490000000
2050,10210000000
